"[[[80.1934237, 13.080055], [80.2724855, 13.080055], [80.2724855, 13.1293472], [80.1934237, 13.1293472]]]","Perambur Purasavakam, India",India
"[[[80.125067, 26.177178], [80.567058, 26.177178], [80.567058, 26.63457], [80.125067, 26.63457]]]","Kanpur, India",India
"[[[-110.801721, 49.989418], [-110.616959, 49.989418], [-110.616959, 50.112935], [-110.801721, 50.112935]]]","Medicine Hat, Alberta",Canada
"[[[47.660082, 29.3348521], [47.6872822, 29.3348521], [47.6872822, 29.3609344], [47.660082, 29.3609344]]]","Al Jahra, Kuwait",Kuwait
"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[74.770712, 12.752933], [75.014001, 12.752933], [75.014001, 13.128654], [74.770712, 13.128654]]]","Mangalore, India",India
"[[[77.373474, 12.919037], [77.739371, 12.919037], [77.739371, 13.231381], [77.373474, 13.231381]]]","Bengaluru, India",India
"[[[76.4551434, 12.1175892], [76.8361765, 12.1175892], [76.8361765, 12.4512955], [76.4551434, 12.4512955]]]","Mysore, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]","New Delhi, India",India
"[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]","Bengaluru South, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[82.671054, 25.166781], [83.194857, 25.166781], [83.194857, 25.57997], [82.671054, 25.57997]]]","Varanasi, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[84.869323, 23.00583], [85.902043, 23.00583], [85.902043, 23.715039], [84.869323, 23.715039]]]","Ranchi, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[78.233173, 17.2371055], [78.5373982, 17.2371055], [78.5373982, 17.5529688], [78.233173, 17.5529688]]]","Rajendra Nagar, India",India
"[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]","New Delhi, India",India
"[[[75.4979969, 26.800561], [75.9970446, 26.800561], [75.9970446, 27.0188054], [75.4979969, 27.0188054]]]","Jaipur, India",India
"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[77.373474, 12.919037], [77.739371, 12.919037], [77.739371, 13.231381], [77.373474, 13.231381]]]","Bengaluru, India",India
"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India
"[[[77.373474, 12.919037], [77.739371, 12.919037], [77.739371, 13.231381], [77.373474, 13.231381]]]","Bengaluru, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[77.096236, 23.871941], [84.638873, 23.871941], [84.638873, 30.407576], [77.096236, 30.407576]]]","Uttar Pradesh, India",India
"[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]","New Delhi, India",India
"[[[82.671054, 25.166781], [83.194857, 25.166781], [83.194857, 25.57997], [82.671054, 25.57997]]]","Varanasi, India",India
"[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]","Bengaluru South, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[83.143542, 19.892662], [83.183826, 19.892662], [83.183826, 19.932711], [83.143542, 19.932711]]]","Bhawanipatna, India",India
"[[[73.048892, 22.088382], [73.312138, 22.088382], [73.312138, 22.465446], [73.048892, 22.465446]]]","Vododara, India",India
"[[[77.373474, 12.919037], [77.739371, 12.919037], [77.739371, 13.231381], [77.373474, 13.231381]]]","Bengaluru, India",India
"[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]","New Delhi, India",India
"[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]","Kolkata, India",India
"[[[76.446888, 10.681582], [76.856449, 10.681582], [76.856449, 10.929981], [76.446888, 10.929981]]]","Pallakad, India",India
